name,power,attack_type,type,accuracy,pp,ignoreEvasion,ignoreDef,ignoreWeather,ignoreType,ignoreImmunity,ignoreBarrier,ignoreAbility,ignoreInvulnerability,targetAtk,inverseDef,DefAsAtk,multiType,interchangeType,charging,crit,priority,recoil,deduct,crash,multi,flags,custom,effect_type,special_effect,effect_accuracy,power_when,weather_when,fails_unless,remarks
Switching,0,Status,Normal,9,100,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,no_effect,,1,,,,in code: not a move: the engine's name for swapping out (Scripts/Battle/battle_checklist.py:145)
Splash,0,Status,Normal,9,100,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,no_effect,,1,,,,
Baneful Bunker,0,Status,Poison,9,10,,,,,,,,,,,,,,,0,4,0,0,0,"0,1",b,,user_protection,,1,,,,
Destiny Bond,0,Status,Ghost,9,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,user_volatile,@DestinyBond,1,,,,in code: the AI weighs it specially (Scripts/Battle/ai.py:575)
King's Shield,0,Status,Normal,9,10,,,,,,,,,,,,,,,0,4,0,0,0,"0,1",b,,user_protection,,1,,,,in code: read by the Stance Change ability (Scripts/Data/abilities.py:127)
Perish Song,0,Status,Normal,9,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",bf,,target_volatile|user_volatile,@PerishSong|@PerishSong,1,,,,
Accelerock,40,Physical,Rock,1,20,,,,,,,,,,,,,,,0,1,0,0,0,"0,1",a,,no_effect,,1,,,,
Acid Spray,40,Special,Poison,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",i,,opponent_modifier,"0,0,0,0,-2,0,0,0,0",1,,,,
Metal Sound,0,Status,Steel,0.85,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",f,,opponent_modifier,"0,0,0,0,-2,0,0,0,0",1,,,,
Screech,0,Status,Normal,0.85,40,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",f,,opponent_modifier,"0,0,-2,0,0,0,0,0,0",1,,,,
Aerial Ace,60,Physical,Flying,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Smart Strike,70,Physical,Steel,9,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Swift,60,Special,Normal,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,no_effect,,1,,,,
Shadow Punch,60,Physical,Ghost,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",ae,,no_effect,,1,,,,
Spectral Thief,90,Physical,Ghost,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,in code: steals the target's positive boosts (Scripts/Battle/battle_move_execution.py:175)
Agility,0,Status,Psychic,9,30,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_modifier,"0,0,0,0,0,2,0,0,0",1,,,,
