Win Rate:
Pianotic:                 74.0% || Round: 96  || Tier: Ultra High
Genesect:                 68.9% || Round: 106 || Tier: Very High
Garchomp:                 68.8% || Round: 96  || Tier: Very High
Douma:                    68.3% || Round: 101 || Tier: Ultra High
Scorchrome:               67.6% || Round: 105 || Tier: High
Charizard:                66.4% || Round: 110 || Tier: High
Krusadian Salamence:      66.0% || Round: 103 || Tier: Ultra High
Chesiquen:                64.8% || Round: 108 || Tier: Ultra High
Dracovish:                63.5% || Round: 104 || Tier: High
Mamoswine:                63.2% || Round: 106 || Tier: Medium
Dreadigo:                 63.2% || Round: 95  || Tier: Ultra High
Volcarona:                62.9% || Round: 97  || Tier: Very High
Heliolisk:                62.7% || Round: 102 || Tier: Medium
Lucario:                  62.7% || Round: 110 || Tier: High
Mimikyu:                  62.5% || Round: 104 || Tier: High
Faker-Greninja:           62.2% || Round: 98  || Tier: Ultra High
Sworphin:                 61.6% || Round: 99  || Tier: High
Cinderace:                61.4% || Round: 88  || Tier: High
Tanjiro:                  61.3% || Round: 124 || Tier: Very High
Naganadel:                61.1% || Round: 95  || Tier: High
Metagross:                61.1% || Round: 108 || Tier: Very High
Azumarill:                61.0% || Round: 100 || Tier: Medium
Bewear:                   60.6% || Round: 99  || Tier: High
Drampa:                   60.6% || Round: 104 || Tier: Medium
Ribombee:                 60.3% || Round: 116 || Tier: Low
Togekiss:                 60.0% || Round: 115 || Tier: Very High
Copperajah:               59.5% || Round: 84  || Tier: High
Gliscor:                  59.4% || Round: 101 || Tier: Medium
Masquerain:               58.3% || Round: 96  || Tier: Medium
Marshadow:                58.1% || Round: 105 || Tier: Very High
Bisharp:                  58.1% || Round: 86  || Tier: High
Noivern:                  57.7% || Round: 97  || Tier: Medium
Nihilego:                 57.5% || Round: 113 || Tier: Very High
Yanmega:                  57.4% || Round: 101 || Tier: High
Milotic:                  57.4% || Round: 108 || Tier: High
Celesteela:               57.3% || Round: 110 || Tier: Very High
Boneknight:               57.3% || Round: 96  || Tier: High
Kommo-o:                  57.1% || Round: 91  || Tier: High
Pyroar:                   57.0% || Round: 86  || Tier: High
Brambleblood:             57.0% || Round: 121 || Tier: Very High
Blaziken:                 57.0% || Round: 100 || Tier: Very High
Galarian Rapidash:        56.9% || Round: 116 || Tier: Medium
Cloyster:                 56.9% || Round: 123 || Tier: High
Galveon:                  56.6% || Round: 113 || Tier: Medium
Tyranitar:                56.6% || Round: 122 || Tier: High
