ID,Name,Strength,Desc,Level,Poke1,Poke2,Poke3,Poke4,Poke5,Poke6,Music,Ace Music,Color,Quote
0,Protagonist,1,"Currently {} years old. You have won the U15 Pokemon Amateur Tournament 2022,
being the youngest winner of the said tournament in history. You have been widely acknowledged as
the best prodigy of the decade. As people proclaimed, you are very good at reading others' mind and often
won at the most clutch moments, while huge comeback is also occassionally found in your fascinating Pokemon battle.",Protagonist,Psyduck,,,,,,,,Green,
1,Trasher,1,"Trasher grew up in places full of trash. He seeks to prove himself in the Pokemon World Championship to change his fate.
He is well known for his Garbador, his first and strongest pokemon.",Low,,,,,,,music/low.mp3,music/ace.mp3,,I will prove to you that there is really treasure in a pile of trash!
2,Goblin,2,"Goblin is simply a goblin. Dim, old, and weak.",Low,,,,,,,music/low.mp3,music/ace.mp3,,I may be old. I may be weak. But I am certainly not blind.
3,Monkey King,3,"Monkey King is the leader of the monkeys. After persuasion from his followers, he decided to participate into the
Pokemon World Championship.",Low,,,,,,,music/low.mp3,music/ace.mp3,,Ook-ook! Eeek-aak-eek!
4,Solanum,5,"Solanum has finally built a spaceship to escape from the Quantum Moon, so that he can participate into the Pokemon World
Championship just in time.",Low,Alakazam,,,,,,music/low.mp3,music/ace.mp3,,"We do not have much connection, you and I. Still, this encounter feels special.
I hope you won't mind if I think of you as a friend."
5,President Rose,6,"President Rose is a moronic person in Pokemon Sword & Shield who seeks to obtain infinite energy from a legendary pokemon but
backfired hard.",Low,Copperajah,,,,,,music/low.mp3,music/ace.mp3,,"1000 years later, I predict that there will be an energy crisis wiping the humanity."
6,Mordekaiser,7,Mordekaiser is tired of battling with the other champions in League of Legends. He wants a change of his life.,Low,Boneknight,,,,,,music/low.mp3,music/ace.mp3,,I will silence the incessant thrum of mortal hearts.
7,Takagi,9,Takagi is a crafty girl who has many small tricks and pranks. She still seeks Pokemon Battle as stress relief.,Low,Dedenne,Charmorin,,,,,music/low.mp3,music/ace.mp3,,You finally look at me. Hehehe
8,Dulunga,11,Dulunga was once an experienced desert soldier. He prefers playing Pokemon TCG more than single battle though.,Low,Sandaconda,Gigalith,,,,,music/low.mp3,music/ace.mp3,,It takes skills to utilize the terrain for your advantage.
9,Abota,12,"Abota was a Mongolian horse archer a long time ago. After his glorious retirement, he is addicted to Pokemon Battle.",Low,Galarian Rapidash,,,,,,music/low.mp3,music/ace.mp3,,"One stone can hit two birds;
Give me one more shot, and I will wipe out your whole team with it."
10,Pudding,13,Pudding is a small boy who likes snacks.,Low,Vanilluxe,,,,,,music/low.mp3,music/ace.mp3,,I love ice-cream!!!
11,Vardy,15,Vardy is an experienced footballer playing Forward for Leicester City.,Low,Talonflame,,,,,,music/low.mp3,music/ace.mp3,,"I am almost done with Leicester, to be honest."
12,Mount,16,Mount is a prominent talent currently playing the position of CAM for the Chelsea Football Club.,Low,Cinderace,,,,,,music/low.mp3,music/ace.mp3,,You don't need eleven people when one is enough.
13,Bruno,17,Bruno is an ordinary scientist.,Low,Eelektross,,,,,,music/low.mp3,music/ace.mp3,,This is an interesting experiment.
14,Clown Marcus,19,"Marcus is a mentally-challenged trainer who somehow goes into the Playoffs stage since his opponents in the Preliminary stage are
either sick or have forfeited their match. Truly the luckiest person ever.",Low,,,,,,,music/low.mp3,music/ace.mp3,,I am an Idiot. I am a Clown. Please laugh at me!
15,Shuka,23,"Karino Shuka is a main character of Darwin's Game as well as a member of Sunset Ravens. 
Shuka is typically friendly with people but can become deadly if needed.",Intermediate,Nidoqueen,,,,,,music/intermediate.mp3,music/ace.mp3,,"If I didn't want to die, I shouldn't have been born, right?"
16,King Bosse,26,"King Bosse is known for one of the strongest man on Earth. He hit extremely hard, but he is also very slow.",Intermediate,Mamoswine,,,,,,music/intermediate.mp3,music/ace.mp3,,"Miranjo, just wait for a little more. I am coming."
17,Bojji,30,"Bojji is a cursed giant with no physical strength. In compensation, he is extremely nimble, allowing him
to dodge attack, and he is good at hitting the vital point of the opponent to win over them.",Intermediate,Scorchrome,,,,,,music/intermediate.mp3,music/ace.mp3,,...................
18,Aphelios,33,"Aphelios has lived in the world for 200 years. He is sick of staying in the world of League and instead seeks to find joy in
Pokemon Battle. Due to his experience and time, he has developed several prominent Pokemon.",Intermediate,Blacephalon,,,,,,music/intermediate.mp3,music/ace.mp3,,"I may have lived for 200 years, but there is still so much to learn and master."
19,Big Bryan,35,"Big Bryan is an enormous guy. At school, he is famous for eating 5 bowls of rice during
lunch time. If he stands on the chair and jumps, it is likely the chair will break.",Intermediate,Snorlax,,,,,,music/intermediate.mp3,music/ace.mp3,,Is that food?
20,Bugsy,37,"Bugsy is a Gym leader specialized in bug-type pokemon. He is the Gym leader of Azalea Gym.
You can find him in Pokemon Generation II. Unfortunately, he has already been kicked out since he is too
weak to be one. Since then, he dislikes bug Pokemon, and reestablish his team around his Ace only.",Intermediate,Yanmega,,,,,,music/intermediate.mp3,music/ace.mp3,,Bug Pokemon are so useless. Prove me wrong.
21,Mindfield,40,"Mindfield is a Professor specializing in Neuroscience. His main contribution includes
successfully encouraging his University to open up the first-ever Pokemon major in the world.",Intermediate,Bronzong,,,,,,music/intermediate.mp3,music/ace.mp3,,"Neuroscience is by far the most exciting branch of science because the brain is the most fascinating object in the universe. 
Every human brain is different - the brain makes each human unique and defines who he or she is."
22,Diantha,44,"Diantha is the Champion of the Kalos region. However, she is well known to be the weakest champion in the Pokemon
main series franchise.",Intermediate,Gardevoir,,,,,,music/intermediate.mp3,music/ace.mp3,,Witnessing the noble spirits of you and your Pokemon in battle has really touched my heart...
23,Rum,46,"Rum is the second-in-hand of the Black Organization. He is known to be ruthless and crafty, but he is also inpatient.",Intermediate,Crobat,,,,,,music/intermediate.mp3,music/ace.mp3,,"After 25 years, they finally decided to introduce me, the Second-in-hand of the Black Organization,
even before the ""Final Boss"". They even decided to create suspicion between me and 2 insane yet
normal characters. I have had enough of this."
24,Kurtosis,50,Kurtosis is an outlier. A black horse.,Intermediate,Spectrier,,,,,,music/intermediate.mp3,music/ace.mp3,,Kurtosis is a measure of the combined weight of a distribution's tails relative to the center of the distribution.
25,Therion,52,"Therion is a master thief known throughout the realm thanks to his multiple exploits in stealing. 
It is mentioned that almost no one knows of Therion's face despite his infamy, 
and that he is the enemy of every wealthy home and person.",Intermediate,Nightdaunter,,,,,,music/intermediate.mp3,music/ace.mp3,,Like a thief in the night.
26,Voldemort,55,Voldemort is the main antagonist in the Harry Potter series. He has an angelic face and is skilled at using magic.,Intermediate,Gengar,,,,,,music/intermediate.mp3,music/ace.mp3,,"There is no good and evil, there is only power and those too weak to seek it."
27,Berserker,60,"Berserker is a ruthless crazy barbarian who is more resilient when in danger. He is not good at capturing a lead but he is
very good at comebacks.",Intermediate,Vindaxe,,,,,,music/intermediate.mp3,music/ace.mp3,,BUWARKKKKKKKKKKKKK!!!!!
28,Steven,62,"Steven is the Champion of the Hoenn region. He is specialised in using Steel type Pokemon. However, this does not mean that
he will be exclusively using Rock and Steel type Pokemon in the Championship.",Intermediate,Metagross,,,,,,music/intermediate.mp3,music/ace.mp3,,"Rock is Sturdy. Steel is Versatile.
I wish your heart as hard as the mix of Rock and Steel.
You still have a long journey, go for it!"
29,Lusamine,65,"Lusamine is the main antagonist of Pokemon Sun and Moon. She is the president of Aether Paradise but she is obsessed with
Ultra Beasts. She can get really dangerous when she slowly descends into a psychopath.",Intermediate,Nihilego,Bewear,,,,,music/intermediate.mp3,music/ace.mp3,,My sweet Pokemon... I promise I'll keep you safe... I'll protect you with my love.
30,Paul,70,"Paul is initially not a caring Trainer as he wants pure power from his Pokemon and the Trainers he faces to be strong.
Paul is also known to release his Pokemon if he deems them weak or useless,
which seems somewhat appropriate because of his ambition and seeing his Pokemon as tools for his own glory.",Advanced,Electivire,,,,,,music/advanced.mp3,music/ace.mp3,,Pathetic.
31,Leon,74,"Leon is the Champion of the Galar region. He is pride of being known as one of the strongest Champions ever, being
undefeated against a strong Gym Leader Raihan. However, this is definitely not the case. His objective is to
win the Championship and especially Marvin to prove himself.",Advanced,Charizard,Dragapult,,,,,music/advanced.mp3,music/ace.mp3,,I SHOULD BE THE REAL CHAMPION!
32,Ash Ketchum,77,"Ash Ketchum is a 10-year old boy who never grows old. He has travelled in many different regions and the respective Pokemon League.
He has never won any Championship except the unofficial Sun and Moon league. He is known for abandoning his Pokemon to Professor Oak
when his journey ends. Also, he has an insane plot armor.",Advanced,Pikachu,,,,,,music/advanced.mp3,music/ace.mp3,,"Pikachu, use Thunderbolt!"
33,Bondrewd,80,"Bondrewd 'The Novel', also known as 'The Lord of Dawn', 'The Sovereign of Dawn', is a legendary White Whistle Delver who has made
many great discoveries about the secrets of the Abyss. A researcher fascinated by the Abyss, he has often resorted to illegal and
morally questionable means in order to get funds for and conduct his research, including selling Artifacts and information from
the depths illicitly, developing dangerous drugs, and even experimenting on living humans. He is ruthless, unethical, and insane.",Advanced,Haxorus,,,,,,music/advanced.mp3,music/ace.mp3,,May your journey overflows with curses and blessing.
34,Gin,83,"Gin is a merciless and efficient assassin. He has no compunctions about killing or threatening fellow teammates.
Fitting his icy personality, Gin's displayed range of emotions so far is relatively limited. He is the main antagonist of
Detective Conan and is the most loyal to the Black Organization.",Advanced,Decidueye,,,,,,music/advanced.mp3,music/ace.mp3,,"If life is a color, it is going to be Silver."
35,Yagami Light,86,"Light is characterized as hardworking, talented, and a natural genius. Highly perceptive and good with problem solving skills,
Light is a skilled planner and good at mapping out scenarios. Furthermore, Light is very popular among peers and adored by
his family members. He often carries a notebook on his hand for no reason.",Advanced,Xurkitree,,,,,,music/advanced.mp3,music/ace.mp3,,May I ask what is your name? ^_^
